iter	Passed	Remaining
226	13920	16740
227	13972	16668
228	14025	16598
229	14078	16526
230	14131	16455
231	14179	16379
232	14234	16311
233	14287	16241
234	14336	16166
235	14388	16095
236	14439	16023
237	14492	15953
238	14540	15879
239	14593	15810
240	14644	15738
241	14695	15667
242	14745	15595
243	14794	15522
244	14845	15451
245	14893	15377
246	14945	15308
247	14998	15240
248	15049	15170
249	15101	15101
250	15149	15028
251	15197	14956
252	15246	14885
253	15333	14850
254	15400	14796
255	15452	14727
256	15507	14662
257	15560	14595
258	15613	14528
259	15664	14459
260	15715	14390
261	15767	14323
262	15819	14255
263	15870	14187
264	15919	14117
265	15973	14051
266	16025	13984
267	16078	13918
268	16131	13852
269	16181	13784
270	16233	13717
271	16285	13650
272	16336	13583
273	16384	13514
274	16434	13446
275	16484	13378
276	16533	13310
277	16585	13244
278	16641	13182
279	16696	13118
280	16749	13054
281	16804	12991
282	16862	12930
283	16915	12865
284	16966	12798
285	17017	12733
286	17068	12667
287	17118	12600
288	17169	12535
289	17218	12468
290	17269	12403
291	17317	12336
292	17369	12271
293	17478	12247
294	17596	12228
295	17661	12172
296	17714	12107
297	17765	12042
298	17819	11979
299	17870	11913
300	17921	11848
301	17971	11782
302	18022	11717
303	18071	11651
304	18125	11588
305	18181	11526
306	18237	11465
307	18292	11402
308	18344	11339
309	18393	11273
310	18443	11208
311	18496	11145
312	18546	11080
313	18596	11015
314	18644	10950
315	18693	10884
316	18780	10842
317	18876	10803
318	18939	10746
319	18992	10683
320	19050	10623
321	19108	10563
322	19165	10502
323	19234	10448
324	19302	10393
325	19359	10332
326	19421	10274
327	19482	10216
328	19544	10158
329	19605	10099
330	19663	10039
331	19717	9977
332	19785	9922
333	19874	9877
334	19938	9820
335	19991	9757
336	20048	9696
337	20101	9634
338	20150	9569
339	20200	9506
340	20253	9443
341	20302	9379
342	20349	9314
343	20399	9251
344	20452	9188
345	20501	9124
346	20550	9061
347	20598	8997
348	20650	8934
349	20700	8871
350	20749	8808
351	20798	8744
352	20848	8681
353	20896	8618
354	20945	8555
355	20998	8493
356	21053	8433
357	21110	8373
358	21183	8320
359	21250	8264
360	21312	8206
361	21365	8144
362	21420	8084
363	21473	8023
364	21527	7962
365	21578	7900
366	21631	7839
367	21685	7778
368	21736	7716
369	21788	7655
370	21844	7595
371	21893	7533
372	21946	7472
373	21997	7410
374	22062	7354
375	22138	7301
376	22194	7241
377	22246	7180
378	22302	7120
379	22351	7058
380	22402	6997
381	22452	6935
382	22505	6874
383	22554	6813
384	22603	6751
385	22655	6691
386	22706	6630
387	22755	6568
388	22803	6506
389	22853	6445
390	22901	6384
391	22952	6323
392	23001	6262
393	23049	6201
394	23098	6140
395	23148	6079
396	23196	6018
397	23243	5956
398	23293	5896
399	23341	5835
400	23394	5775
401	23445	5715
402	23499	5656
403	23554	5597
404	23617	5540
405	23678	5482
406	23736	5423
407	23789	5364
408	23841	5304
409	23893	5244
410	23951	5186
411	24009	5128
412	24065	5069
413	24116	5009
414	24169	4950
415	24222	4891
416	24280	4832
417	24350	4776
418	24417	4720
419	24471	4661
420	24525	4602
421	24577	4542
422	24629	4483
423	24680	4423
424	24731	4364
425	24782	4304
426	24831	4245
427	24883	4185
428	24934	4126
429	24984	4067
430	25035	4008
431	25083	3948
432	25130	3888
433	25181	3829
434	25228	3769
435	25278	3710
436	25328	3651
437	25376	3592
438	25427	3533
439	25477	3474
440	25527	3415
441	25574	3355
442	25622	3296
443	25673	3238
444	25723	3179
445	25772	3120
446	25821	3061
447	25870	3002
448	25917	2943
449	25964	2884
450	26014	2826
451	26066	2768
452	26116	2709
453	26165	2651
454	26215	2592
455	26265	2534
456	26314	2475
457	26365	2417
458	26415	2359
459	26466	2301
460	26517	2243
461	26603	2188
462	26667	2131
463	26719	2073
464	26771	2015
465	26824	1957
466	26874	1899
467	26923	1840
468	26971	1782
469	27018	1724
470	27066	1666
471	27115	1608
472	27165	1550
473	27213	1492
474	27264	1434
475	27313	1377
476	27361	1319
477	27410	1261
478	27460	1203
479	27508	1146
480	27557	1088
481	27607	1031
482	27658	973
483	27708	915
484	27762	858
485	27816	801
486	27865	743
487	27913	686
488	27963	629
489	28013	571
490	28066	514
491	28114	457
492	28163	399
493	28211	342
494	28258	285
495	28305	228
496	28356	171
497	28404	114
498	28454	57
499	28503	0
